ProductoID,Marca,Descripción,DescripciónID,Tamaño,TamañoID
19942932241,19942,Viu Manent Estate Rsv Malbec,9322,750mL,41
19943932441,19943,Viu Manent Rsva Svgn Blanc,9324,750mL,41
19945246741,19945,Cocchi Americano Rossa,2467,750mL,41
19946296941,19946,Dolin Sweet White Vermouth,2969,750mL,41
19947496841,19947,Josh Cellars Svgn Bl,4968,750mL,41
19948496741,19948,Josh Cellars Pnt Nr,4967,750mL,41
19949938041,19949,Warre's Quinta Cavadinha,9380,750mL,41
19951938241,19951,Warre's Vintage Port 2000,9382,750mL,41
19954187641,19954,Ch Cos d'Estournel 10,1876,750mL,41
19955196641,19955,Ch La Croix de Beaucailou 10,1966,750mL,41
19960528041,19960,La Noble Chard Unoaked,5280,750mL,41
19961308441,19961,Dom du Pegau Chntf du Pape R,3084,750mL,41
19962828641,19962,St Francis Merlot,8286,750mL,41
19963688041,19963,Penya Rouge Vin d Pays,6880,750mL,41
19966181041,19966,Ch Alter Ego 10 Brdx,1810,750mL,41
19967184441,19967,Ch Branaire Ducru 10 Brdx,1844,750mL,41
19968186741,19968,Ch Clerc Milon 10,1867,750mL,41
19969188341,19969,Ch D'Issan 10 Brdx,1883,750mL,41
19970189541,19970,Ch Ducru Beaucallou 10,1895,750mL,41
19971200941,19971,Ch Le Bon Pasteur 10 Brdx,2009,750mL,41
19972205841,19972,Ch Montrose 10,2058,750mL,41
19977440722,19977,Hideyoshi Namacho Honjozo Sa,4407,300mL,22
19980888441,19980,Tin Roof Cab Svgn,8884,750mL,41
19988720141,19988,Querceto Il Picchio Chianti,7201,750mL,41
19989720541,19989,Querceto Sangiovese,7205,750mL,41
19990780441,19990,Sauvion Rose d'Anjou,7804,750mL,41
19995731441,19995,Ravenswood Barricia Znfdl,7314,750mL,41
19996457941,19996,Inspired Red Blend CA,4579,750mL,41
20000823141,20000,Soter Vyds Planet Oregon Pnt,8231,750mL,41
20001823041,20001,Soter Vyds North Vly Pnt Nr,8230,750mL,41
20002822941,20002,Soter Vyds Mineral Springs P,8229,750mL,41
20008835041,20008,Steele Out Kaste Lke Cty Red,8350,750mL,41
20016145041,20016,Camelot Pnt Nr,1450,750mL,41
20018144741,20018,Camelot Cab Svgn,1447,750mL,41
20019144841,20019,Camelot Chard,1448,750mL,41
20023456941,20023,Inglenook Cask Cab Svgn,4569,750mL,41
20024457041,20024,Inglenook Rubicon 09,4570,750mL,41
20030904041,20030,Trivento Rsv Cab Malbec,9040,750mL,41
20038895041,20038,Torii Mor Pnt Nr Deux Verres,8950,750mL,41
20050658141,20050,Occhio A Vento Vermentino,6581,750mL,41
20055193241,20055,Ch Haut Bailey 10 Brdx,1932,750mL,41
20056210641,20056,Ch Rauzan-Segla 10 Brdx,2106,750mL,41
20057200541,20057,Ch Lascombes 10 Brdx,2005,750mL,41
20058209641,20058,Ch Picon Longueville Comt 10,2096,750mL,41
20060217441,20060,Ch Troplong Mondot 10 Brdx,2174,750mL,41
20061208141,20061,Ch Pavie 10 Brdx,2081,750mL,41
20062181441,20062,Ch Angelus 10 Brdx,1814,750mL,41
20063186541,20063,Ch Cheval Blanc 10 Brdx,1865,750mL,41
20064192041,20064,Ch Grand Leoville 10 Brdx,1920,750mL,41
20066207341,20066,Ch Pagodes de Cos 10 Brdx,2073,750mL,41
20067183241,20067,Ch Bellevue Mondotte 10 Brdx,1832,750mL,41
20075729741,20075,Rampolla Sammarco Toscna IGT,7297,750mL,41
20082575941,20082,Maison Nicolas Merlot,5759,750mL,41
20088145941,20088,Camp Merlot Sonoma Cnty,1459,750mL,41
20091313741,20091,Dos Minas Malbec,3137,750mL,41
20092313841,20092,Dos Minas Torrontes,3138,750mL,41
20093182941,20093,Ch Beausejour Pentimento,1829,750mL,41
20095204941,20095,Ch Monestier La Tour Blanc,2049,750mL,41
20096611841,20096,Milestone Red,6118,750mL,41
20097611641,20097,Milestone Cab Svgn,6116,750mL,41
20098611741,20098,Milestone Chard,6117,750mL,41
20102497841,20102,Julia James Pnt Nr,4978,750mL,41
20105492041,20105,Jonathan Edwards Znfdl Lodi,4920,750mL,41
20108779641,20108,Sassacaia,7796,750mL,41
20114949841,20114,Wolfgang Puck Chard,9498,750mL,41
20118563341,20118,Love Oregon Rsl,5633,750mL,41
20119563241,20119,Love Oregon Pnt Nr,5632,750mL,41
20130710141,20130,Pommerey Brut Rose Champagne,7101,750mL,41
20132492641,20132,Jos Phelps Insignia 2010 Red,4926,750mL,41
20133346641,20133,Fancy Pants Cab Svgn,3466,750mL,41
20134346741,20134,Fancy Pants Chard,3467,750mL,41
20144647541,20144,Ninety Cellars Lot 96 Chard,6475,750mL,41
20146201241,20146,Ch Le Ringue Brdx,2012,750mL,41
20149100641,20149,Bodegas Borsao Wh Campo Brja,1006,750mL,41
20152524241,20152,La Cote Blanche Mcon V Chard,5242,750mL,41
20160343941,20160,F Coppola Sophia Chard,3439,750mL,41
20161344241,20161,F Coppola Votre Sante Ch Red,3442,750mL,41
20162439741,20162,Hess Select Pnt Nr,4397,750mL,41
20165107841,20165,Bonal Apertif,1078,750mL,41
20167706841,20167,Plungerhead Lodi Cab Svgn,7068,750mL,41
20170695341,20170,Piazzo Dolcetto,6953,750mL,41
20174297741,20174,Dom Bousquet Pnt Nr Rsv,2977,750mL,41
20176297541,20176,Dom Bousquet Malbec Gr Rsv,2975,750mL,41
20177752441,20177,Robert Sinskey Abraxas,7524,750mL,41
20178752924,20178,Robert Sinskey Pnt Bl,7529,375mL,24
20180758441,20180,Rosatello Sw Sparkling Rose,7584,750mL,41
20181765524,20181,Ruffino Prosecco,7655,375mL,24
20182938541,20182,Washington Hills LH Rsl,9385,750mL,41
20184224441,20184,Charles & Charles Chard,2244,750mL,41
20189834541,20189,Steele 09 Bien Nacido Pnt Nr,8345,750mL,41
20192130341,20192,Byrrh Apertif,1303,750mL,41
20200788441,20200,Sea Smoke Chard,7884,750mL,41
20204295141,20204,Dibon Cava Brut Rsv,2951,750mL,41
20205295241,20205,Dibon Cava Rosado,2952,750mL,41
20213164841,20213,Casa Ferreirinha Papas Figos,1648,750mL,41
20216256541,20216,Conti Zecca Negroamaro 10,2565,750mL,41
20217346841,20217,Fancy Pants Red Blend,3468,750mL,41
20218232341,20218,Chocolate Cuvee,2323,750mL,41
20222635941,20222,Nantucket Vyd Chard,6359,750mL,41
20224894341,20224,Tommaso Bussola Amarone Clsc,8943,750mL,41
20234204141,20234,Ch Marquis d'Alesme,2041,750mL,41
20251762841,20251,Round Pond Est Svgn Bl Napa,7628,750mL,41
20252762641,20252,Round Pond Est Cab Rutherfrd,7626,750mL,41
20253762741,20253,Round Pond Est Cab Svgn K&K,7627,750mL,41
20255118541,20255,Breca OV Garnacha Calatayud,1185,750mL,41
20257961241,20257,Zerran Tinto Montsant,9612,750mL,41
20265561141,20265,Louis Jadot Nuits St Geo 11,5611,750mL,41
20274561041,20274,Louis Jadot Chmble-Musgny 11,5610,750mL,41
20316816227,20316,Smith & Hook Cab Svgn,8162,3L,27
20317491941,20317,Jonathan Edwards Svgn Bl,4919,750mL,41
20319491841,20319,Jonathan Edwards Chard,4918,750mL,41
20324878841,20324,The Peach Chenin Bl/Viognier,8788,750mL,41
20333618641,20333,Mommy's Time Out Delicious R,6186,750mL,41
20334317541,20334,Drouet Freres Svgn Bl,3175,750mL,41
20339709041,20339,Pol Roger Brut 2004,7090,750mL,41
20343611341,20343,Milbrandt Traditions Cab Svg,6113,750mL,41
20345611241,20345,Milbrandt Rsl Columbia Vly,6112,750mL,41
20353720941,20353,Quinta da Cosaboa TintaBoa,7209,750mL,41
20375323141,20375,Duval-Leroy Femme de Chmpgne,3231,750mL,41
20376323224,20376,Duval-Leroy Prestige Rose,3232,375mL,24
20377323241,20377,Duval-Leroy Prestige Rose,3232,750mL,41
20382345441,20382,Fabrizio Dionisio Rose Syrah,3454,750mL,41
20383345241,20383,Fabrizio Dionisio Cast Syrah,3452,750mL,41
20384345341,20384,Fabrizio Dionisio Il Cast Sy,3453,750mL,41
20398453141,20398,I Lauri Bajo Montepul d'Abru,4531,750mL,41
20400456041,20400,Ilauri Le Pinciaie 10 Red,4560,750mL,41
20401453441,20401,I Lauri Trebbiano d'Abruzzo,4534,750mL,41
20402453341,20402,I Lauri Tavo Pnt Grigio,4533,750mL,41
20403863541,20403,Tenuta Santo Pietro Imago 11,8635,750mL,41
20404863741,20404,Tenuta Santo Pietro Pio Il C,8637,750mL,41
20405863841,20405,Tenuta Santo Pietro Viper Su,8638,750mL,41
