ProductoID,Marca,Descripción,DescripciónID,Tamaño,TamañoID
21031797641,21031,Shannon Ridge Chard HE Lake,7976,750mL,41
21032859741,21032,Taylor Fladgate 10-Yr Tawny,8597,750mL,41
21033860041,21033,Taylor Fladgate 20-Yr Tawny,8600,750mL,41
21034276241,21034,Cyrus Cab Svgn Alex Vly,2762,750mL,41
21039862241,21039,Temptation Znfdl,8622,750mL,41
21045326824,21045,Eden Ice Cider Honey Crisp,3268,375mL,24
21055774341,21055,Sandeman Imperial 20-Yr Taw,7743,750mL,41
21057319341,21057,DuCourt Brdx Blanc,3193,750mL,41
21076638541,21076,Natura Pnt Nr,6385,750mL,41
21078498624,21078,Justin Obtuse,4986,375mL,24
